TotalSqFt,Bedrooms,Bathrooms,OverallQuality,YearBuilt,RoadWidth,RoadType_RCC,Price
2287,5,1.5,5,2018,13,0,172800.0
1934,5,2.0,7,2007,20,1,165100.0
2760,7,2.5,6,1995,20,1,207000.0
3366,8,2.5,7,2001,20,1,283400.0
2201,4,1.5,5,2003,20,1,185000.0
2952,7,2.0,7,1999,20,1,196100.0
2928,7,3.5,8,2009,13,0,220500.0
2931,6,2.0,7,2004,22,1,220200.0
2562,6,2.5,4,2020,13,0,162300.0
3348,8,2.5,5,1996,13,0,198800.0
2179,5,1.5,5,1999,20,1,141600.0
2823,5,2.0,6,1999,18,1,177600.0
2554,7,2.0,6,2017,13,0,191300.0
1801,5,1.5,4,2019,13,0,137300.0
1390,4,1.5,5,2026,13,0,104200.0
2894,6,2.0,2,1992,13,0,161100.0
2059,5,1.5,7,2004,20,1,161000.0
3396,8,3.0,5,2010,13,0,226400.0
2322,6,2.5,5,2026,13,0,158600.0
1708,5,2.0,5,2001,13,0,108100.0
3292,7,2.0,7,1993,13,0,253600.0
2449,6,2.0,2,1998,13,0,176600.0
2186,6,2.5,5,2017,20,1,188100.0
1501,5,2.0,5,2012,13,0,112400.0
2088,5,1.5,5,2011,13,0,156700.0
2333,6,2.0,8,2013,13,0,188700.0
2364,6,1.5,4,2015,13,0,158300.0
2275,6,2.0,6,2019,20,1,195300.0
2841,7,3.0,6,2022,13,0,186400.0
2680,6,1.5,7,2005,20,1,194900.0
2028,6,2.0,4,2011,13,0,139300.0
3305,8,3.0,4,2007,13,0,249800.0
2688,6,1.5,7,1996,13,0,196700.0
1860,4,1.5,6,2015,13,0,160000.0
2939,7,2.5,3,1997,20,1,201000.0
1780,5,1.5,4,1995,13,0,136800.0
2331,6,2.0,6,2019,13,0,204200.0
1924,5,2.0,7,2012,13,0,130400.0
2036,6,2.5,4,2021,13,0,126000.0
2674,7,2.5,2,2011,22,1,184400.0
2510,6,2.0,6,1998,13,0,184700.0
2652,7,2.5,3,2020,13,0,181100.0
1978,4,1.5,2,1996,20,1,167400.0
2016,5,2.0,2,1998,14,0,164300.0
1575,5,1.5,7,2002,13,0,129600.0
2040,5,1.5,5,1992,13,0,139300.0
2540,5,1.5,5,2024,13,0,173600.0
3124,7,2.5,7,2022,12,0,221600.0
3058,7,2.0,6,2010,12,0,208000.0
1698,3,1.5,8,2020,13,0,145500.0
2903,7,2.5,3,2023,22,1,217800.0
2347,5,2.0,5,2021,13,0,163800.0
2671,6,2.5,3,2024,13,0,173300.0
2238,6,2.0,5,2004,13,0,161200.0
3832,8,3.0,5,2021,22,1,264100.0
3396,8,3.0,6,1995,13,0,235800.0
2205,6,2.5,5,2010,13,0,151100.0
2631,7,2.0,6,2022,13,0,187900.0
2932,7,2.5,6,2021,14,0,227300.0
3426,8,3.0,9,2008,20,1,281600.0
2967,6,2.0,5,2022,13,0,182500.0
2311,6,1.5,4,2017,14,0,171900.0
1686,4,1.5,6,2020,12,0,113300.0
1824,5,2.5,4,2010,13,0,122300.0
3252,7,2.5,8,2023,20,1,259300.0
2775,6,2.0,5,2004,13,0,226000.0
2483,6,2.0,4,2003,13,0,161900.0
3176,7,2.5,5,2008,13,0,205600.0
2870,7,3.0,6,2004,13,0,173800.0
1722,3,1.5,5,1995,13,0,114200.0
2621,7,2.5,4,1998,13,0,198800.0
4109,8,3.0,8,2026,13,0,293400.0
2106,5,1.5,4,2009,13,0,156900.0
3044,8,3.0,5,2023,13,0,235700.0
1911,4,2.0,6,2015,13,0,133400.0
2742,7,3.0,3,2007,20,1,224100.0
3236,8,2.5,6,2017,20,1,216500.0
2426,5,2.0,4,1998,12,0,159800.0
2306,5,1.5,7,2021,13,0,172000.0
1776,3,1.5,4,1995,13,0,104200.0
2410,6,2.0,6,2003,20,1,195300.0
2983,6,2.0,7,2017,22,1,239000.0
3413,8,3.5,7,2013,22,1,252700.0
2472,6,2.0,6,2002,20,1,177100.0
1926,5,1.5,5,2001,13,0,138300.0
2509,6,2.0,4,2008,20,1,185300.0
3953,8,3.0,8,2010,13,0,277000.0
2310,6,2.5,4,2016,14,0,169100.0
2249,6,2.5,4,2008,13,0,164000.0
2958,7,2.0,6,2013,18,1,202400.0
2613,7,3.5,4,2015,20,1,209300.0
2689,5,2.0,4,2017,13,0,195900.0
2711,7,3.0,3,2007,13,0,157900.0
2533,6,2.0,5,2025,20,1,202300.0
1958,4,1.5,5,2018,13,0,178100.0
1412,3,1.5,6,2006,13,0,114700.0
2294,5,2.0,7,1993,14,0,157300.0
2580,6,2.5,6,2018,14,0,185800.0
2827,7,3.0,5,1993,13,0,177000.0
2824,8,2.5,5,1999,13,0,184200.0
1715,5,1.5,6,2014,20,1,143300.0
1810,3,1.5,7,2020,14,0,135300.0
2504,6,2.5,5,1992,20,1,166700.0
2237,6,2.0,5,1991,13,0,149800.0
2048,5,2.0,4,2014,14,0,153800.0
2179,6,2.5,3,1995,13,0,172500.0
3010,8,2.5,6,2015,13,0,246900.0
2624,7,2.0,6,1997,20,1,213600.0
2864,7,2.5,6,2024,14,0,191500.0
2637,7,2.5,5,2016,13,0,200500.0
1808,4,1.5,7,2014,13,0,115900.0
2880,7,3.0,5,2007,20,1,206700.0
2911,7,2.5,7,1990,13,0,204500.0
4623,8,3.0,5,1992,13,0,296600.0
2175,5,1.5,4,1993,13,0,153300.0
2166,6,1.5,6,2026,20,1,202100.0
2166,6,2.0,6,2004,13,0,162800.0
1495,3,1.5,6,1997,13,0,92900.0
3266,8,3.0,5,2008,13,0,217700.0
3871,8,2.5,5,2015,13,0,245700.0
2498,6,3.5,9,1999,13,0,212400.0
1609,4,2.5,7,2003,13,0,142700.0
3098,7,2.5,6,2008,13,0,245200.0
2106,5,1.5,5,2019,13,0,162300.0
2759,8,3.0,7,1994,13,0,202300.0
3491,8,3.5,6,2020,12,0,279600.0
1814,4,1.5,5,1996,20,1,160100.0
1910,6,1.5,5,2008,22,1,140000.0
3001,8,2.5,5,2020,13,0,215400.0
2948,7,2.5,2,2013,20,1,161400.0
1359,4,1.5,6,2023,13,0,139900.0
3382,8,3.0,5,2012,20,1,232000.0
1961,4,1.5,8,1995,13,0,148200.0
3625,8,2.0,5,2025,13,0,216400.0
2156,6,2.5,4,2016,13,0,152100.0
3710,8,2.5,5,2000,18,1,268800.0
2395,6,1.5,4,1994,12,0,173300.0
2346,5,2.0,6,2006,13,0,176100.0
2795,8,3.0,6,1996,12,0,163600.0
1582,3,1.5,7,2016,13,0,142100.0
2692,6,2.0,4,2004,13,0,169700.0
3250,8,2.5,5,2002,13,0,218100.0
1454,5,1.5,3,2000,13,0,102500.0
2546,7,2.0,6,2015,20,1,198200.0
3266,8,2.5,6,2011,14,0,225700.0
2572,6,2.5,6,2017,13,0,210600.0
2035,5,2.0,5,2013,13,0,148100.0
2012,5,2.0,6,2018,13,0,146500.0
3364,6,1.5,8,1998,20,1,226000.0
2237,5,1.5,5,1993,20,1,197200.0
